"mature_mirna_id","target_symbol"
"hsa-miR-125b-5p","CYP1A1"
"hsa-miR-296-3p","CYP1A1"
"hsa-miR-6809-3p","CYP1A1"
"hsa-miR-6833-3p","CYP1A1"
"hsa-miR-4768-5p","CYP1A1"
"hsa-miR-3191-5p","CYP1A1"
"hsa-miR-4294","CYP1A1"
"hsa-miR-4680-5p","CYP1A1"
"hsa-miR-4679","CYP1A1"
"hsa-miR-4677-3p","CYP1A1"
"hsa-miR-3664-5p","CYP1A1"
"hsa-miR-1231","CYP1A1"
"hsa-miR-632","CYP1A1"
"hsa-miR-6888-3p","CYP1A1"
"hsa-miR-4288","CYP1A1"
"hsa-miR-155-5p","CYP1A1"
"hsa-miR-655-3p","CYP1A1"
"hsa-miR-374c-5p","CYP1A1"
"hsa-miR-3120-5p","CYP1A1"
"hsa-miR-892c-3p","CYP1A1"
"hsa-miR-4676-3p","CYP1A1"
"hsa-miR-452-5p","CYP1A1"
"hsa-miR-429","CYP1A1"
"hsa-miR-200c-3p","CYP1A1"
"hsa-miR-8084","CYP1A1"
"hsa-miR-200b-3p","CYP1A1"
"hsa-miR-215-5p","CENPA"
"hsa-miR-192-5p","CENPA"
"hsa-miR-610","CENPA"
"hsa-miR-1276","CENPA"
"hsa-miR-5692a","CENPA"
"hsa-miR-6739-5p","CENPA"
"hsa-miR-6733-5p","CENPA"
"hsa-miR-3153","CENPA"
"hsa-miR-4668-5p","CENPA"
"hsa-miR-187-3p","CENPA"
"hsa-miR-411-5p","CENPA"
"hsa-miR-6504-3p","CENPA"
"hsa-miR-376c-3p","CENPA"
"hsa-miR-4309","CENPA"
"hsa-miR-3198","CENPA"
"hsa-miR-4294","CENPA"
"hsa-miR-1289","CENPA"
"hsa-miR-432-5p","CENPA"
"hsa-miR-4719","CENPA"
"hsa-miR-4714-3p","CENPA"
"hsa-miR-6813-3p","CENPA"
"hsa-miR-6750-3p","CENPA"
"hsa-miR-6507-3p","CENPA"
"hsa-miR-1283","CENPA"
"hsa-miR-3190-5p","CENPA"
"hsa-miR-339-5p","CENPA"
"hsa-miR-3926","CENPA"
"hsa-miR-4421","CENPA"
"hsa-miR-4684-5p","CENPA"
"hsa-miR-548s","CENPA"
"hsa-miR-5699-3p","CENPA"
"hsa-miR-593-3p","CENPA"
"hsa-miR-6732-3p","CENPA"
"hsa-miR-6849-3p","CENPA"
"hsa-miR-6895-3p","CENPA"
"hsa-miR-139-5p","CYP1A1"
"hsa-miR-15b-5p","CYP1A1"
"hsa-miR-16-5p","CYP1A1"
"hsa-miR-103a-3p","CYP1A1"
"hsa-miR-15a-5p","CYP1A1"
"hsa-miR-424-5p","CYP1A1"
"hsa-miR-195-5p","CYP1A1"
"hsa-miR-107","CYP1A1"
"hsa-miR-196a-5p","CYP1A1"
"hsa-miR-29a-3p","CYP1A1"
"hsa-miR-29b-3p","CYP1A1"
"hsa-miR-29c-3p","CYP1A1"
"hsa-miR-100-5p","CYP1A1"
"hsa-miR-146b-5p","CYP1A1"
"hsa-miR-26a-5p","CYP1A1"
"hsa-miR-26b-5p","CYP1A1"
"hsa-miR-28-5p","CYP1A1"
"hsa-miR-451a","CYP1A1"
"hsa-miR-99a-5p","CYP1A1"
"hsa-miR-106b-5p","CYP1A1"
"hsa-miR-18a-5p","CYP1A1"
"hsa-miR-20a-5p","CYP1A1"
"hsa-miR-20b-5p","CYP1A1"
"hsa-miR-34a-5p","CYP1A1"
"hsa-miR-574-5p","CYP1A1"
"hsa-miR-375-3p","CYP1A1"
"hsa-miR-212-3p","CYP1A1"
"hsa-miR-1-3p","CYP1A1"
"hsa-miR-191-5p","CYP1A1"
"hsa-miR-27a-3p","CYP1A1"
"hsa-miR-671-5p","CYP1A1"
"hsa-miR-182-5p","CYP1A1"
"hsa-let-7d-5p","CENPA"
"hsa-miR-182-5p","CENPA"
"hsa-miR-302d-3p","CENPA"
"hsa-miR-302e","CENPA"
"hsa-miR-302a-3p","CENPA"
"hsa-miR-302b-3p","CENPA"
"hsa-miR-302c-3p","CENPA"
"hsa-miR-1307-3p","CENPA"
"hsa-miR-18a-5p","CENPA"
"hsa-miR-501-3p","CENPA"
"hsa-miR-423-3p","CENPA"
"hsa-miR-501-5p","CENPA"
"hsa-let-7a-5p","CENPA"
"hsa-miR-10a-5p","CENPA"
"hsa-miR-877-5p","CENPA"
"hsa-miR-124-3p","CENPA"
"hsa-miR-340-5p","CENPA"
"hsa-miR-375-3p","CENPA"
"hsa-miR-147a","CENPA"
"hsa-miR-34a-5p","CENPA"
"hsa-miR-212-3p","CENPA"
"hsa-let-7i-5p","CENPA"
"hsa-let-7f-5p","CENPA"
"hsa-let-7c-5p","CENPA"
"hsa-let-7g-5p","CENPA"
"hsa-let-7b-5p","CENPA"
"hsa-miR-19b-3p","CENPA"
"hsa-miR-155-5p","CENPA"
"hsa-miR-16-5p","CENPA"
"hsa-miR-494-3p","CENPA"
"hsa-miR-1-3p","CENPA"
"hsa-miR-503-5p","CENPA"
"hsa-miR-128-3p","CENPA"
"hsa-miR-129-2-3p","CENPA"
"hsa-miR-548ai","CYP1A1"
"hsa-miR-570-5p","CYP1A1"
"hsa-miR-520d-5p","CENPA"
"hsa-miR-3177-5p","CYP1A1"
"hsa-miR-524-5p","CENPA"
"hsa-miR-1291","CYP1A1"
"hsa-miR-335-3p","CENPA"
"hsa-miR-4482-3p","CENPA"
"hsa-miR-4766-5p","CENPA"
"hsa-miR-4650-5p","CENPA"
"hsa-miR-3167","CYP1A1"
"hsa-miR-548ag","CYP1A1"
"hsa-miR-515-5p","CENPA"
"hsa-miR-203b-3p","CENPA"
"hsa-miR-3194-5p","CYP1A1"
"hsa-miR-1182","CYP1A1"
"hsa-miR-4422","CENPA"
"hsa-miR-519e-5p","CENPA"
"hsa-miR-876-5p","CYP1A1"
"hsa-miR-4316","CENPA"
"hsa-miR-196b-5p","CYP1A1"
"hsa-miR-663b","CYP1A1"
"hsa-miR-3613-3p","CENPA"
"hsa-miR-4495","CENPA"
"hsa-miR-3922-5p","CYP1A1"
"hsa-miR-4539","CENPA"
"hsa-miR-4513","CENPA"
"hsa-miR-4668-3p","CENPA"
"hsa-miR-218-2-3p","CYP1A1"
"hsa-miR-5591-3p","CENPA"
"hsa-miR-146b-3p","CYP1A1"
"hsa-miR-556-3p","CENPA"
"hsa-miR-3120-3p","CENPA"
"hsa-miR-3179","CYP1A1"
"hsa-miR-1305","CENPA"
"hsa-miR-4713-5p","CENPA"
"hsa-miR-4282","CENPA"
"hsa-miR-22-5p","CYP1A1"
"hsa-miR-548c-3p","CENPA"
"hsa-miR-629-3p","CENPA"
"hsa-miR-484","CYP1A1"
"hsa-miR-4493","CYP1A1"
"hsa-miR-4699-3p","CENPA"
"hsa-miR-320a-3p","CENPA"
"hsa-miR-320c","CENPA"
"hsa-miR-320b","CENPA"
"hsa-miR-320d","CENPA"
"hsa-miR-543","CYP1A1"
"hsa-miR-944","CENPA"
"hsa-miR-3647-3p","CENPA"
"hsa-miR-3609","CENPA"
"hsa-miR-664a-3p","CENPA"
"hsa-miR-186-5p","CENPA"
"hsa-miR-4275","CENPA"
"hsa-miR-545-3p","CENPA"
"hsa-miR-302b-5p","CENPA"
"hsa-miR-302d-5p","CENPA"
"hsa-miR-646","CENPA"
"hsa-miR-615-5p","CENPA"
"hsa-miR-155-3p","CENPA"
"hsa-miR-609","CENPA"
"hsa-miR-198","CENPA"
"hsa-miR-708-3p","CENPA"
"hsa-miR-921","CENPA"
"hsa-miR-525-5p","CENPA"
"hsa-miR-21-5p","CENPA"
"hsa-miR-21-3p","CENPA"
"hsa-miR-644a","CENPA"
"hsa-miR-195-3p","CENPA"
"hsa-miR-16-2-3p","CENPA"
"hsa-miR-1264","CYP1A1"
"hsa-miR-502-5p","CENPA"
"hsa-miR-624-5p","CENPA"
"hsa-miR-3173-3p","CENPA"
"hsa-miR-1265","CYP1A1"
"hsa-miR-589-3p","CENPA"
"hsa-miR-192-3p","CENPA"
"hsa-miR-2116-5p","CYP1A1"
"hsa-miR-142-3p","CYP1A1"
"hsa-miR-140-3p","CENPA"
"hsa-miR-4311","CENPA"
"hsa-miR-369-3p","CENPA"
"hsa-miR-2116-3p","CENPA"
"hsa-miR-302c-5p","CYP1A1"
"hsa-miR-143-3p","CENPA"
"hsa-miR-1323","CENPA"
"hsa-miR-548o-3p","CENPA"
"hsa-miR-3121-3p","CYP1A1"
"hsa-miR-548n","CENPA"
"hsa-miR-548k","CENPA"
"hsa-miR-3186-5p","CENPA"
"hsa-miR-551b-5p","CYP1A1"
"hsa-miR-103b","CENPA"
"hsa-miR-380-3p","CENPA"
"hsa-miR-1234-3p","CENPA"
"hsa-miR-493-5p","CENPA"
"hsa-miR-466","CYP1A1"
"hsa-miR-219a-5p","CENPA"
"hsa-miR-4755-5p","CENPA"
"hsa-miR-5006-3p","CENPA"
"hsa-miR-616-5p","CENPA"
"hsa-miR-373-5p","CENPA"
"hsa-miR-371b-5p","CENPA"
"hsa-miR-511-3p","CENPA"
"hsa-miR-7851-3p","CYP1A1"
"hsa-miR-5695","CENPA"
"hsa-miR-4786-5p","CYP1A1"
"hsa-miR-6729-3p","CENPA"
"hsa-miR-320a-5p","CENPA"
"hsa-miR-4446-5p","CENPA"
